"id	name	element	description	imagepath"
"1	Eastern Air Temple	AIR	One of the two temples exclusively housing female airbenders.	/com/avatarduel/card/image/Eastern Air Temple.png"
"2	Western Air Temple	AIR	One of the two temples exclusively housing female airbenders.	/com/avatarduel/card/image/Western Air Temple.png"
"3	Southern Air Temple	AIR	One of the two temples exclusively housing male airbenders. Childhood home of Avatar Aang.	/com/avatarduel/card/image/Southern Air Temple.png"
"4	Northern Air Temple	AIR	One of the two temples exclusively housing male airbenders.	/com/avatarduel/card/image/Northern Air Temple.png"
"5	Foggy Swamp	WATER	Place for immigrants of the Southern Water Tribe with an extensive array of fauna and flora.	/com/avatarduel/card/image/Foggy Swamp.png"
"6	Spirit Oasis	WATER	A verdant and lush garden located in a cave in the Northern Water Tribe's capital city at the North Pole.	/com/avatarduel/card/image/Spirit Oasis.png"
"7	Northern Water Tribe	WATER	The largest division of its nation and is located on an island situated near the North Pole.	/com/avatarduel/card/image/Northern Water Tribe.png"
"8	Southern Water Tribe	WATER	Minor division of the Water Tribe. Its people are scattered in tiny villages and settlements located on an island by the South Pole.	/com/avatarduel/card/image/Southern Water Tribe.png"
"9	Si Wong Desert	EARTH	The largest desert in the world.	/com/avatarduel/card/image/Si Wong Desert.png"
"10	Ba Sing Se	EARTH	The monolithic capital of the Earth Kingdom.	/com/avatarduel/card/image/Ba Sing Se.png"
"11	Kyoshi Island	EARTH	""Famous as the birthplace of Avatar Kyoshi	 and as the home of the elite Kyoshi Warriors.""	/com/avatarduel/card/image/Kyoshi Island.png"
"12	Omashu	EARTH	""The second largest city in the Earth Kingdom and the capital of one of its provinces	 ruled by King Bumi.""	/com/avatarduel/card/image/Omashu.png"
"13	Fire Nation Capital	FIRE	The seat of the government for the Fire Nation	/com/avatarduel/card/image/Fire Nation Capital.png"
"14	Boiling Rock	FIRE	A massive Fire Nation prison.	/com/avatarduel/card/image/Boiling Rock.png"
"15	Sun Warriors' Ancient City	FIRE	Large, historic settlement located on an island north of the Fire Nation mainland.	/com/avatarduel/card/image/Sun Warriors' Ancient City.png"
"16	Fire Fountain City	FIRE	A large industrial city located in the Fire Nation.	/com/avatarduel/card/image/Fire Fountain City.png"
